id,model,name,duration,total_requests,total_requests_mean,total_requests_stdev,total_requests_min,total_requests_p1,total_requests_p25,total_requests_p50,total_requests_p75,total_requests_p99,total_requests_max,e2e_mean,e2e_stdev,e2e_min,e2e_p1,e2e_p25,e2e_p50,e2e_p75,e2e_p99,e2e_max,ttft_mean,ttft_stdev,ttft_min,ttft_p1,ttft_p25,ttft_p50,ttft_p75,ttft_p99,ttft_max,itt_mean,itt_stdev,itt_min,itt_p1,itt_p25,itt_p50,itt_p75,itt_p99,itt_max,tps_mean,tps_stdev,tps_min,tps_p1,tps_p25,tps_p50,tps_p75,tps_p99,tps_max,duration,input_tokens_expected,output_tokens_expected,input_tokens_actual_mean,output_tokens_actual_mean,input_tps_mean,input_tps_stdev,input_tps_min,input_tps_p1,input_tps_p25,input_tps_p50,input_tps_p75,input_tps_p99,input_tps_max,output_tps_mean,output_tps_stdev,output_tps_min,output_tps_p1,output_tps_p25,output_tps_p50,output_tps_p75,output_tps_p99,output_tps_max
h200_80b_fp8_1000_500_2P6D_tp2,RedHatAI/Qwen3-Next-80B-A3B-Instruct-FP8-dynamic,8,2431.05844,4999,2.05589463,2.17338036,0,0.67153991,1.10568374,1.5556538,2.36311065,4.97600444,8.72214274,3.88807301,0.16328067,3.52238536,3.58742976,3.78359532,3.87118411,3.95638156,4.2134254,4.30660057,166.82298,44.1230309,128.204346,131.206274,155.46751,159.463406,164.950371,231.490612,259.818316,7.45636,0.30877144,6.7975416,6.89211685,7.2554467,7.42384762,7.57911115,8.09682586,8.27049397,3100.77251,52925.5061,110.242667,360.415069,601.108525,823.51147,1204.949,2342.04338,4159.56455,2431.05844,1000,500,1008,500,2075.73844,1734.50165,544.502661,684.988248,1116.05792,1576.59316,2388.41548,5089.45784,8764.83507,1028.1076,716.396681,110.242667,360.317033,600.712574,822.421598,1201.28758,2307.49725,3873.4948
h200_80b_fp8_1000_500_2P6D_tp2,RedHatAI/Qwen3-Next-80B-A3B-Instruct-FP8-dynamic,64,436.600612,5000,11.4498236,22.1778632,0,0.37855911,5.10335429,8.41486237,13.9494411,26.2258738,63.376256,5.54574757,0.20788148,4.31197524,4.97588396,5.44493365,5.54818773,5.66516852,5.85483241,5.96117234,232.797228,79.2504934,146.110773,165.699005,186.349869,223.603487,260.788918,290.611506,491.612196,10.6456035,0.38193819,8.29859965,9.51580581,10.4717004,10.6571662,10.8668723,11.2350747,11.3581498,17272.1321,229487.542,103.981555,1250.57597,3060.41659,4632.76401,7212.73505,13737.7784,21151.0508,436.600612,1000,500,1008,500,11660.1532,34211.4229,464.104511,515.327664,5599.47133,9066.41226,16244.9989,20389.6661,39670.2644,5726.83424,3892.63427,103.981555,1248.94315,3057.26491,4625.27999,7184.26445,13515.7676,19601.4295
h200_80b_fp8_1000_500_2P6D_tp2,RedHatAI/Qwen3-Next-80B-A3B-Instruct-FP8-dynamic,16,1327.5845,4999,3.76473212,4.42129909,0,0.61807565,1.98535657,2.8177112,4.34683892,9.17810893,17.1211456,4.23837349,0.21477164,3.52689719,3.73123503,4.10620379,4.26651096,4.36061072,4.59487176,4.76121521,176.814532,35.4389974,129.207373,147.069693,156.908512,162.562132,179.299116,251.234293,266.308784,8.13817904,0.42070166,6.80500329,7.147122,7.88581061,8.20015141,8.37488786,8.84877608,9.13773319,5677.8244,91812.5686,123.317886,530.847127,1040.14695,1494.44673,2269.64502,4460.54204,7608.40396,1327.5845,1000,500,1008,500,3805.72023,5884.00735,525.006238,641.881406,2030.58683,2880.79359,4578.0916,9309.57221,17459.5231,1882.56777,1350.15432,123.317886,530.697717,1039.37988,1492.24154,2262.27788,4394.5502,7100.52578
h200_80b_fp8_5000_2500_2P6D_tp2,RedHatAI/Qwen3-Next-80B-A3B-Instruct-FP8-dynamic,32,3933.06547,5000,1.27076451,2.60675507,0,0.08822326,0.11279818,0.16058875,0.54845527,6.55028392,9.09032668,25.0997947,0.40100072,21.1202135,24.1921468,24.8722937,25.1278062,25.3555398,25.6550753,25.8175788,222.522012,109.810799,185.556173,195.486784,202.268124,205.544233,209.753513,306.746483,426.650047,9.95456598,0.15151509,8.37311376,9.60046857,9.86739691,9.96882976,10.0574344,10.175284,10.2308998,9541.38583,316971.434,100.302404,814.784394,1718.22636,2531.28023,3894.76303,7463.9986,12014.5901,3933.06547,5000,2500,5008,2500,6398.35456,13714.5605,432.823415,443.995431,564.957874,803.867184,2803.05021,33387.9722,45840.0882,3177.07307,2242.63809,100.302404,814.745253,1718.04612,2530.45769,3892.2851,7441.16378,11862.4985
h200_80b_fp8_5000_2500_2P6D_tp2,RedHatAI/Qwen3-Next-80B-A3B-Instruct-FP8-dynamic,8,11854.9348,4999,0.42134353,0.4839796,0,0.1179472,0.17827546,0.27216766,0.48116724,1.12318948,2.13545132,18.9646077,0.3322737,17.9580202,18.0903196,18.7680423,19.0240695,19.210711,19.4379699,19.4660761,194.797258,22.2699551,164.306641,179.370403,188.024759,191.945791,194.716454,208.425283,287.381649,7.51067435,0.13229524,7.11438388,7.15727718,7.43311002,7.53499842,7.61030091,7.69935984,7.70961661,3163.49569,118017.698,131.604801,369.560574,615.181533,843.579987,1233.23999,2368.11067,4002.41449,11854.9348,5000,2500,5008,2500,2113.3932,2524.31092,561.546582,590.76595,892.785205,1356.83246,2410.86676,5629.09939,10724.9129,1053.37497,731.248604,131.604801,369.542203,615.104528,843.263723,1232.46709,2360.99748,3950.45099
h200_80b_fp8_5000_2500_2P6D_tp2,RedHatAI/Qwen3-Next-80B-A3B-Instruct-FP8-dynamic,64,2439.14352,5000,2.04744,3.34616441,0,0.06678264,0.15531902,0.52363032,2.71486354,8.38243853,12.841462,31.0765288,0.53722993,22.5178592,30.1011348,30.8258698,31.0582016,31.3140533,31.6781034,31.9227428,264.127902,275.801327,196.742296,200.210094,214.464664,221.470356,232.166767,341.345787,1334.69701,12.3294838,0.18560642,8.92578091,11.9564144,12.242359,12.3280622,12.4285399,12.5634849,12.6176226,15373.5065,459619.497,85.2707896,1220.89346,2749.83149,4129.14969,6384.02435,12127.4617,17949.0734,2439.14352,5000,2500,5008,2500,10349.1136,20494.9628,391.204816,396.430721,782.894271,2624.2769,13599.8923,43311.2178,62143.9036,5119.04185,3485.55771,85.2707896,1220.4549,2749.16218,4127.49604,6379.42777,12086.8684,17739.4589
h200_80b_fp8_5000_2500_2P6D_tp2,RedHatAI/Qwen3-Next-80B-A3B-Instruct-FP8-dynamic,16,6530.40934,5000,0.75186711,2.52374272,0,0.10464391,0.24976074,0.43449432,0.80157383,2.38289981,5.83352434,21.1933482,0.38720708,13.2685905,20.6507564,21.0378408,21.1975164,21.3326361,21.6221671,21.8807309,204.021083,48.9078337,168.400526,181.041002,191.823483,195.734978,199.85342,264.516115,337.370396,8.39528015,0.19684038,6.96952718,8.18675687,8.33783945,8.40160388,8.4542131,8.56333716,8.66965057,5644.54743,202181.745,118.876088,524.583459,1037.48479,1490.32368,2260.27727,4395.61035,7157.82091,6530.40934,5000,2500,5007.99674,2499.11914,3776.41592,6218.3144,495.873264,525.718649,1249.04512,2174.42664,4029.89816,12027.6767,30627.6784,1879.07004,1888.27798,118.876088,524.52476,1037.36435,1489.85045,2258.67579,4382.46915,7069.05282
h200_80b_fp8_10000_5000_2P6D_tp2,RedHatAI/Qwen3-Next-80B-A3B-Instruct-FP8-dynamic,32,7710.58159,4999,0.64807044,1.04170043,0,0.04596718,0.11453591,0.3056587,0.75766215,2.3702391,5.36699168,49.2157483,0.67597781,40.0294676,47.706378,48.7888677,49.2719831,49.6386886,50.1213248,50.5134499,333.928056,215.432551,279.738903,285.69746,295.283556,298.754215,303.731441,457.288742,656.684875,9.77812828,0.12839765,7.94693288,9.47927971,9.69562175,9.78985451,9.86556626,9.95909216,10.0173678,9726.66106,449566.163,104.04431,829.081748,1751.88782,2584.7295,3977.29213,7596.46077,12128.777,7710.58159,10000,5000,10008,5000,6519.76176,9770.70753,453.862491,462.432124,1149.01385,3052.17087,7639.91746,25180.3616,56518.0729,3240.49209,2280.72388,104.04431,828.962074,1751.59541,2584.25037,3975.85544,7584.00923,12050.3311
h200_80b_fp8_10000_5000_2P6D_tp2,RedHatAI/Qwen3-Next-80B-A3B-Instruct-FP8-dynamic,8,24051.5248,4999,0.20759599,0.18652393,0,0.05824135,0.12127796,0.16283163,0.23638182,0.47203258,0.86211816,38.4886167,0.61353514,36.4234805,36.8319707,38.1009328,38.607321,38.9532158,39.271584,39.3350942,288.951212,50.088081,259.94277,273.68021,282.303572,284.465075,287.698507,296.214104,399.616957,7.6413188,0.12206329,7.22862602,7.30824041,7.56354207,7.66552646,7.7344767,7.79763644,7.80933245,3115.63667,164659.551,129.445627,364.689068,605.896635,830.394365,1214.00721,2330.93985,3925.93321,24051.5248,10000,5000,10008,5000,2080.87635,1918.92369,545.997937,582.834879,1214.55833,1628.55575,2363.30626,4720.50865,8743.92701,1037.99196,722.692008,129.445627,364.685611,605.839859,830.238082,1213.65604,2327.33001,3900.39275
h200_80b_fp8_10000_5000_2P6D_tp2,RedHatAI/Qwen3-Next-80B-A3B-Instruct-FP8-dynamic,64,4584.19663,5000,1.08961295,1.91693191,0,0.03520306,0.05397869,0.20390642,1.39212818,4.79194591,8.78443462,58.3205221,1.15478864,44.4440384,56.2941291,57.6170778,58.2901328,58.9340568,59.7332959,60.6512859,423.398787,521.634525,290.739536,300.743818,307.974577,313.591957,424.107552,621.53101,2383.5578,11.5815359,0.19757278,8.82780836,11.199241,11.4535414,11.5866501,11.7083621,11.8642727,11.9588129,16354.0268,670352.875,88.4786527,1236.1775,2923.23687,4404.6829,6818.14384,12858.5121,18789.0393,4584.19663,10000,5000,10008,5000,11016.906,17043.6609,420.920715,422.495162,540.315052,2040.58411,14219.6943,52979.5453,64374.8621,5448.43644,3693.11684,88.4786527,1235.93011,2922.87119,4403.80126,6814.89929,12835.6077,18671.4996
